name,league,primary,secondary,tertiary,quaternary,division,location,mascot,sportslogos_name,logo
Arizona Cardinals,nfl,#97233f,#000000,#ffb612,#a5acaf,NFC West,Arizona,Cardinals,Arizona Cardinals,http://content.sportslogos.net/logos/7/177/thumbs/kwth8f1cfa2sch5xhjjfaof90.gif
Atlanta Falcons,nfl,#a71930,#000000,#a5acaf,#a30d2d,NFC South,Atlanta,Falcons,Atlanta Falcons,http://content.sportslogos.net/logos/7/173/thumbs/299.gif
Baltimore Ravens,nfl,#241773,#000000,#9e7c0c,#c60c30,AFC North,Baltimore,Ravens,Baltimore Ravens,http://content.sportslogos.net/logos/7/153/thumbs/318.gif
Buffalo Bills,nfl,#00338d,#c60c30,#0c2e82,#d50a0a,AFC East,Buffalo,Bills,Buffalo Bills,http://content.sportslogos.net/logos/7/149/thumbs/n0fd1z6xmhigb0eej3323ebwq.gif
Carolina Panthers,nfl,#0085ca,#000000,#bfc0bf,NA,NFC South,Carolina,Panthers,Carolina Panthers,http://content.sportslogos.net/logos/7/174/thumbs/f1wggq2k8ql88fe33jzhw641u.gif
Chicago Bears,nfl,#0b162a,#c83803,NA,NA,NFC North,Chicago,Bears,Chicago Bears,http://content.sportslogos.net/logos/7/169/thumbs/364.gif
Cincinnati Bengals,nfl,#000000,#fb4f14,#d32f1e,NA,AFC North,Cincinnati,Bengals,Cincinnati Bengals,http://content.sportslogos.net/logos/7/154/thumbs/403.gif
Cleveland Browns,nfl,#fb4f14,#22150c,#a5acaf,#d32f1e,AFC North,Cleveland,Browns,Cleveland Browns,http://content.sportslogos.net/logos/7/155/thumbs/15578552015.gif
Dallas Cowboys,nfl,#002244,#b0b7bc,#acc0c6,#a5acaf,NFC East,Dallas,Cowboys,Dallas Cowboys,http://content.sportslogos.net/logos/7/165/thumbs/406.gif
Denver Broncos,nfl,#002244,#fb4f14,#00234c,#ff5200,AFC West,Denver,Broncos,Denver Broncos,http://content.sportslogos.net/logos/7/161/thumbs/9ebzja2zfeigaziee8y605aqp.gif
Detroit Lions,nfl,#005a8b,#b0b7bc,#000000,#004e89,NFC North,Detroit,Lions,Detroit Lions,http://content.sportslogos.net/logos/7/170/thumbs/17013982017.gif
Green Bay Packers,nfl,#203731,#ffb612,#1c2d25,#eead1e,NFC North,Green Bay,Packers,Green Bay Packers,http://content.sportslogos.net/logos/7/171/thumbs/dcy03myfhffbki5d7il3.gif
Houston Texans,nfl,#03202f,#a71930,#00071c,#a30d2d,AFC South,Houston,Texans,Houston Texans,http://content.sportslogos.net/logos/7/157/thumbs/570.gif
Indianapolis Colts,nfl,#002c5f,#a5acaf,#013369,#9ba1a2,AFC South,Indianapolis,Colts,Indianapolis Colts,http://content.sportslogos.net/logos/7/158/thumbs/593.gif
Jacksonville Jaguars,nfl,#000000,#006778,#9f792c,#d7a22a,AFC South,Jacksonville,Jaguars,Jacksonville Jaguars,http://content.sportslogos.net/logos/7/159/thumbs/15988562013.gif
Kansas City Chiefs,nfl,#e31837,#ffb612,#000000,#eead1e,AFC West,Kansas City,Chiefs,Kansas City Chiefs,http://content.sportslogos.net/logos/7/162/thumbs/857.gif
Los Angeles Chargers,nfl,#002244,#0073cf,#ffb612,#001532,AFC West,Los Angeles,Chargers,Los Angeles Chargers,http://content.sportslogos.net/logos/7/6446/thumbs/644624152017.gif
Los Angeles Rams,nfl,#002244,#b3995d,#001532,#af925d,NFC West,Los Angeles,Rams,Los Angeles Rams,http://content.sportslogos.net/logos/7/5941/thumbs/594179532017.gif
Miami Dolphins,nfl,#008e97,#f58220,#005778,NA,AFC East,Miami,Dolphins,Miami Dolphins,http://content.sportslogos.net/logos/7/150/thumbs/15073062018.gif
Minnesota Vikings,nfl,#4f2683,#ffc62f,#e9bf9b,#000000,NFC North,Minnesota,Vikings,Minnesota Vikings,http://content.sportslogos.net/logos/7/172/thumbs/17227042013.gif
New England Patriots,nfl,#002244,#c60c30,#b0b7bc,#001532,AFC East,New England,Patriots,New England Patriots,http://content.sportslogos.net/logos/7/151/thumbs/y71myf8mlwlk8lbgagh3fd5e0.gif
New Orleans Saints,nfl,#9f8958,#000000,NA,NA,NFC South,New Orleans,Saints,New Orleans Saints,http://content.sportslogos.net/logos/7/175/thumbs/907.gif
New York Giants,nfl,#0b2265,#a71930,#a5acaf,#012352,NFC East,New York,Giants,New York Giants,http://content.sportslogos.net/logos/7/166/thumbs/919.gif
New York Jets,nfl,#125740,#000000,#FFFFFF,NA,AFC East,New York,Jets,New York Jets,http://content.sportslogos.net/logos/7/152/thumbs/15291162019.gif
Oakland Raiders,nfl,#a5acaf,#000000,#a6aeb0,NA,AFC West,Oakland,Raiders,Oakland Raiders,http://content.sportslogos.net/logos/7/163/thumbs/g9mgk6x3ge26t44cccm9oq1vl.gif
Philadelphia Eagles,nfl,#004953,#a5acaf,#acc0c6,#000000,NFC East,Philadelphia,Eagles,Philadelphia Eagles,http://content.sportslogos.net/logos/7/167/thumbs/960.gif
Pittsburgh Steelers,nfl,#000000,#ffb612,#c60c30,#00539b,AFC North,Pittsburgh,Steelers,Pittsburgh Steelers,http://content.sportslogos.net/logos/7/156/thumbs/970.gif
San Francisco 49ers,nfl,#aa0000,#b3995d,#000000,#a5acaf,NFC West,San Francisco,49ers,San Francisco 49ers,http://content.sportslogos.net/logos/7/179/thumbs/17994552009.gif
Seattle Seahawks,nfl,#002244,#69be28,#a5acaf,#001532,NFC West,Seattle,Seahawks,Seattle Seahawks,http://content.sportslogos.net/logos/7/180/thumbs/pfiobtreaq7j0pzvadktsc6jv.gif
Tampa Bay Buccaneers,nfl,#d50a0a,#34302b,#000000,#ff7900,NFC South,Tampa Bay,Buccaneers,Tampa Bay Buccaneers,http://content.sportslogos.net/logos/7/176/thumbs/17636702014.gif
Tennessee Titans,nfl,#002244,#4b92db,#c60c30,#a5acaf,AFC South,Tennessee,Titans,Tennessee Titans,http://content.sportslogos.net/logos/7/160/thumbs/1053.gif
Washington Football Team,nfl,#773141,#ffb612,#000000,#5b2b2f,NFC East,Washington,Football Team,Washington Football Team,http://content.sportslogos.net/logos/7/168/thumbs/im5xz2q9bjbg44xep08bf5czq.gif
